model_name,occupation,dp_gap,eo_tpr_gap,eo_fpr_gap
distilbert_masked (Masked),nurse,0.07757518080780797,0.07421543681085663,0.006467326139088728
distilbert_masked (Masked),photographer,0.02164506036467454,0.0013067236873366417,0.0017864342995385519
distilbert_masked (Masked),professor,0.03086299392328351,0.02163103870420935,0.024111485222596332
distilbert_masked (Masked),architect,0.018917961643521955,0.13421052631578945,0.008252203617143712
distilbert_masked (Masked),journalist,0.012664149161298634,0.06252035167697811,0.0018946419525581668
distilbert_masked (Masked),teacher,0.02460292047318606,0.04025974025974033,0.005502287121745249
distilbert_masked (Masked),physician,0.03247385151488591,0.11292254201274865,0.0022874245096467325
distilbert_masked (Masked),attorney,0.016292827256318657,0.002459791863765326,0.0004222362077957297
distilbert_masked (Masked),psychologist,0.020879433436072837,0.0665584415584416,0.002538061020330215
distilbert_masked (Masked),dentist,0.028866639595434146,0.07954545454545459,0.0016448399778115428
distilbert_masked (Masked),model,0.027828213352318974,0.3044444444444444,0.00010451719587828987
distilbert_masked (Masked),software_engineer,0.024797010477282527,0.06990881458966558,0.006548232162490596
distilbert_masked (Masked),surgeon,0.03693166064123044,0.02011494252873558,0.00686066039970804
distilbert_masked (Masked),poet,0.004191270779705162,0.15333333333333332,0.0017954296130336404
distilbert_masked (Masked),composer,0.015119342991919775,0.025396825396825418,0.0011668036986204938
distilbert_masked (Masked),painter,0.00027190489053145056,0.04633620689655171,0.0016743885196504149
distilbert_masked (Masked),accountant,0.009345836188036543,0.03125,0.0004316970572804007
distilbert_masked (Masked),filmmaker,0.008712584008772511,0.021428571428571352,0.003158559696778269
distilbert_masked (Masked),dietitian,0.019129940127258646,0.03448275862068961,0.00012028641888579101
distilbert_masked (Masked),comedian,0.008124947452591057,0.11764705882352944,0.0024984384759525295
roberta_unmasked (Unmasked),nurse,0.08417781864301571,0.06743002544529253,0.008967326139088728
roberta_unmasked (Unmasked),photographer,0.02886574517145213,0.05416963649322881,0.0018353079651856593
roberta_unmasked (Unmasked),professor,0.03202395625193416,0.017770034843205496,0.023610175832398054
roberta_unmasked (Unmasked),architect,0.019837429497029616,0.17280701754385963,0.008160376425558287
roberta_unmasked (Unmasked),journalist,0.01875428205481388,0.11071312276131551,0.0014658545632950017
roberta_unmasked (Unmasked),teacher,0.03307490443079752,0.13220779220779222,0.010099988271170536
roberta_unmasked (Unmasked),physician,0.030725252630053726,0.08711609039984547,0.0014643792421570202
roberta_unmasked (Unmasked),attorney,0.018267715408599713,0.026111636707663255,0.00014626134125920315
roberta_unmasked (Unmasked),psychologist,0.023577910589801063,0.03409090909090906,0.00021966843918647463
roberta_unmasked (Unmasked),dentist,0.02948468656700398,0.06818181818181823,0.0016448399778115428
roberta_unmasked (Unmasked),model,0.023486679343635904,0.15333333333333332,0.002486016159105034
roberta_unmasked (Unmasked),software_engineer,0.026455272539931556,0.11246200607902734,0.009457323071581505
roberta_unmasked (Unmasked),surgeon,0.04229820453329851,0.0431034482758621,0.011103853690398433
roberta_unmasked (Unmasked),poet,0.002955176836565484,0.15333333333333332,0.0005359837692049249
roberta_unmasked (Unmasked),composer,0.013159660047332919,0.0031746031746031633,0.0001932403601816277
roberta_unmasked (Unmasked),painter,0.002337129864995645,0.05711206896551724,0.002651620004678781
roberta_unmasked (Unmasked),accountant,0.009240294158159202,0.0625,0.0002982299500188697
roberta_unmasked (Unmasked),filmmaker,0.008395957919140495,0.06428571428571428,0.003056057245531867
roberta_unmasked (Unmasked),dietitian,0.019024398097381306,0.06896551724137934,0.0007390983000739098
roberta_unmasked (Unmasked),comedian,0.010084630397177913,0.14117647058823524,0.003123048094940662
roberta_masked (Masked),nurse,0.08221813569842885,0.018659881255301047,0.010740407673860912
roberta_masked (Masked),photographer,0.023092238367568893,0.029579472558802666,0.0023617180722597143
roberta_masked (Masked),professor,0.027803169480822676,0.020105471324983415,0.01882528993640105
roberta_masked (Masked),architect,0.019731887467152282,0.15614035087719302,0.007426700710224464
roberta_masked (Masked),journalist,0.009980877215264597,0.04754151742103552,0.004204110774729067
roberta_masked (Masked),teacher,0.02502508859269542,0.08623376623376622,0.003846078661349596
roberta_masked (Masked),physician,0.02783089662426501,0.07560363144678384,0.0029709515089632044
roberta_masked (Masked),attorney,0.015689985492443007,0.029832860296436392,0.003262054950492672
roberta_masked (Masked),psychologist,0.023894536679433073,0.0016233766233766378,0.0014585192764002873
roberta_masked (Masked),dentist,0.030102733538573824,0.05681818181818177,0.0016448399778115428
roberta_masked (Masked),model,0.026592119409179295,0.06222222222222218,0.0006462335548724609
roberta_masked (Masked),software_engineer,0.023983084653652204,0.13373860182370811,0.007547711359296336
roberta_masked (Masked),surgeon,0.036826118611353105,0.01839080459770115,0.00686066039970804
roberta_masked (Masked),poet,0.003573223808135323,0.12,0.0017954296130336404
roberta_masked (Masked),composer,0.01367216498902542,0.053968253968254,0.0009215724796280951
roberta_masked (Masked),painter,0.00048298895028612773,0.04633620689655171,0.0014572259674218895
roberta_masked (Masked),accountant,0.008411163126834686,0.01041666666666663,0.0010281569573181394
roberta_masked (Masked),filmmaker,0.008501499949017834,0.04285714285714293,0.003056057245531867
roberta_masked (Masked),dietitian,0.017682762124364287,0.10344827586206895,0.00012028641888579101
roberta_masked (Masked),comedian,0.009466583425608074,0.14117647058823524,0.0024984384759525295
distilbert_unmasked (Unmasked),nurse,0.0862430436174799,0.059796437659033086,0.011990407673860911
distilbert_unmasked (Unmasked),photographer,0.022881154307814226,0.013186029935851828,0.0012111505268173877
distilbert_unmasked (Unmasked),professor,0.021924120647062062,0.02396647518598738,0.01210250654695099
distilbert_unmasked (Unmasked),architect,0.016747194639180424,0.2421052631578947,0.006326658045898527
distilbert_unmasked (Unmasked),journalist,0.012151644219606128,0.07603386519049171,0.0030678241931816827
distilbert_unmasked (Unmasked),teacher,0.021000180673644363,0.07324675324675323,0.00040024630541871976
distilbert_unmasked (Unmasked),physician,0.026700344711002674,0.08711609039984547,0.0059840960425755745
distilbert_unmasked (Unmasked),attorney,0.01929272529198471,0.04597918637653742,0.000738246112998095
distilbert_unmasked (Unmasked),psychologist,0.0231709476779859,0.006493506493506551,0.0015911119378912222
distilbert_unmasked (Unmasked),dentist,0.030102733538573824,0.05681818181818177,0.0016448399778115428
distilbert_unmasked (Unmasked),model,0.028446260323888813,0.17333333333333334,0.001889241634424978
distilbert_unmasked (Unmasked),software_engineer,0.028309413454641077,0.06990881458966558,0.010093860309009895
distilbert_unmasked (Unmasked),surgeon,0.04106211059015883,0.07011494252873562,0.010369639299796377
distilbert_unmasked (Unmasked),poet,0.0036787658380126632,0.22000000000000008,1.3457601131552227e-05
distilbert_unmasked (Unmasked),composer,0.015119342991919775,0.025396825396825418,0.0011668036986204938
distilbert_unmasked (Unmasked),painter,0.0051259438409070185,0.17780172413793105,0.0005429063805713146
distilbert_unmasked (Unmasked),accountant,0.011923566104193237,0.09375,0.0017921410885393175
distilbert_unmasked (Unmasked),filmmaker,0.0068584430940629906,0.07857142857142851,0.002526847757422615
distilbert_unmasked (Unmasked),dietitian,0.017682762124364287,0.10344827586206895,0.00012028641888579101
distilbert_unmasked (Unmasked),comedian,0.009979088367300574,0.05882352941176472,0.0037476577139287947
pythia_1.4b_zeroshot (Unmasked),nurse,0.0848709972290745,0.6598812553011026,0.014388489208633094
pythia_1.4b_zeroshot (Unmasked),photographer,0.008349447872075907,0.05749584224281312,0.008158847558964042
